temperature,humidity,CO2CosIRValue,CO2MG811Value,MOX1,MOX2,MOX3,MOX4,COValue
17.94,53.52,114.0,507.0,518.0,717.0,675.0,617.0,114.0
20.68,55.84,132.0,561.0,463.0,715.0,659.0,594.0,115.0
17.0,52.99,79.0,608.0,544.0,762.0,721.0,657.0,116.0
20.12,56.93,72.0,498.0,535.0,708.0,667.0,619.0,118.0
19.65,59.33,68.0,517.0,518.0,713.0,651.0,577.0,113.0
20.96,57.45,72.0,498.0,533.0,707.0,666.0,616.0,109.0
18.64,55.19,103.0,554.0,506.0,725.0,663.0,597.0,101.0
19.86,57.23,72.0,498.0,533.0,709.0,666.0,617.0,120.0
23.7,47.66,122.0,515.0,487.0,672.0,626.0,551.0,172.0
19.29,53.68,109.0,547.0,504.0,721.0,666.0,607.0,126.0
22.28,44.78,118.0,508.0,468.0,701.0,655.0,584.0,144.0
23.32,51.48,145.0,564.0,398.0,686.0,642.0,557.0,131.0
24.98,49.63,212.0,519.0,426.0,656.0,597.0,520.0,235.0
19.73,46.14,79.0,563.0,499.0,755.0,708.0,653.0,98.0
17.76,46.02,68.0,569.0,529.0,775.0,736.0,684.0,88.0
22.65,47.08,138.0,578.0,440.0,706.0,664.0,580.0,119.0
23.89,48.76,135.0,571.0,438.0,697.0,648.0,575.0,129.0
22.42,52.03,238.0,493.0,418.0,637.0,585.0,507.0,227.0
20.46,59.7,49.0,518.0,518.0,691.0,630.0,576.0,177.0
19.36,56.35,110.0,600.0,469.0,725.0,663.0,587.0,110.0
19.73,54.7,120.0,599.0,490.0,737.0,696.0,617.0,103.0
18.45,52.46,106.0,597.0,453.0,745.0,703.0,634.0,105.0
21.07,58.76,327.0,485.0,455.0,623.0,571.0,483.0,248.0
20.03,51.08,107.0,526.0,547.0,714.0,675.0,608.0,112.0
16.1,41.28,74.0,603.0,575.0,788.0,752.0,702.0,113.0
22.78,44.1,125.0,578.0,477.0,710.0,668.0,591.0,131.0
23.14,43.32,107.0,590.0,436.0,736.0,695.0,624.0,124.0
24.14,52.19,106.0,533.0,493.0,691.0,647.0,580.0,108.0
21.14,56.25,120.0,550.0,441.0,706.0,665.0,589.0,117.0
20.3,55.33,72.0,502.0,537.0,719.0,678.0,630.0,110.0
20.19,57.8,47.0,523.0,550.0,743.0,690.0,643.0,95.0
18.09,48.55,96.0,507.0,552.0,705.0,667.0,598.0,114.0
19.59,49.12,97.0,503.0,517.0,716.0,679.0,615.0,99.0
20.17,57.73,70.0,498.0,534.0,712.0,669.0,621.0,117.0
18.05,52.25,74.0,509.0,544.0,731.0,694.0,637.0,98.0
22.52,49.6,103.0,524.0,502.0,704.0,663.0,596.0,117.0
19.2,55.46,100.0,508.0,550.0,745.0,695.0,650.0,105.0
16.47,44.03,94.0,593.0,554.0,777.0,741.0,689.0,116.0
24.43,53.31,123.0,548.0,473.0,703.0,654.0,581.0,120.0
20.02,54.94,80.0,561.0,463.0,739.0,690.0,634.0,95.0
19.74,55.24,68.0,506.0,543.0,730.0,690.0,643.0,104.0
19.54,59.55,135.0,548.0,487.0,698.0,627.0,562.0,121.0
19.78,56.11,72.0,502.0,538.0,719.0,678.0,629.0,109.0
22.54,52.37,149.0,551.0,435.0,709.0,666.0,598.0,113.0
20.76,48.79,94.0,613.0,500.0,757.0,714.0,649.0,114.0
23.16,49.94,104.0,555.0,405.0,731.0,677.0,611.0,116.0
18.86,51.03,85.0,532.0,550.0,729.0,688.0,631.0,98.0
21.36,49.14,113.0,593.0,499.0,742.0,696.0,624.0,100.0
17.54,55.51,117.0,523.0,543.0,739.0,695.0,654.0,103.0
22.49,47.78,110.0,593.0,476.0,728.0,686.0,613.0,107.0
21.55,57.7,131.0,548.0,455.0,703.0,661.0,585.0,117.0
19.99,55.06,49.0,522.0,547.0,751.0,699.0,654.0,107.0
19.32,49.03,96.0,514.0,510.0,712.0,674.0,608.0,119.0
20.72,55.31,105.0,599.0,418.0,702.0,625.0,548.0,128.0
18.12,51.61,106.0,520.0,546.0,719.0,679.0,619.0,118.0
23.32,54.68,114.0,505.0,510.0,713.0,651.0,592.0,117.0
