Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1.636,0.084,230.63,7.0,0.0,0.0,17.0
0.38,0.098,241.68,1.8,0.0,0.0,1.0
0.374,0.0,240.48,1.8,0.0,0.0,1.0
2.522,0.0,237.07,10.6,0.0,0.0,17.0
0.346,0.108,241.72,1.4,0.0,0.0,0.0
0.366,0.124,243.36,1.6,0.0,0.0,1.0
0.158,0.128,243.64,0.8,0.0,0.0,0.0
0.506,0.136,234.74,2.2,0.0,1.0,0.0
0.688,0.0,243.83,2.8,0.0,0.0,0.0
3.034,0.056,236.76,12.8,0.0,0.0,17.0
2.104,0.1,242.45,8.8,0.0,0.0,13.0
4.54,0.212,238.37,19.0,38.0,0.0,18.0
0.274,0.068,243.18,1.2,0.0,0.0,0.0
1.528,0.082,241.57,6.2,0.0,2.0,18.0
0.564,0.206,237.25,2.6,1.0,1.0,1.0
2.194,0.122,237.54,9.2,0.0,0.0,18.0
0.39,0.178,243.48,1.8,0.0,1.0,0.0
1.036,0.186,242.97,4.4,1.0,0.0,0.0
3.498,0.088,234.17,14.8,0.0,35.0,18.0
1.526,0.066,242.34,6.4,0.0,4.0,19.0
1.24,0.242,241.9,5.2,0.0,0.0,12.0
1.36,0.078,241.18,5.6,0.0,0.0,18.0
1.368,0.0,246.15,5.4,0.0,0.0,19.0
1.582,0.128,243.31,6.4,1.0,0.0,18.0
2.59,0.158,234.01,11.0,0.0,4.0,17.0
1.31,0.0,243.41,5.4,0.0,0.0,18.0
2.16,0.342,239.67,9.0,0.0,2.0,29.0
0.434,0.084,245.02,1.8,0.0,0.0,1.0
2.73,0.218,238.86,12.4,1.0,0.0,18.0
0.36,0.078,241.18,1.6,0.0,0.0,1.0
0.462,0.096,246.17,2.0,0.0,1.0,0.0
1.3,0.0,242.57,5.2,0.0,0.0,18.0
0.222,0.0,240.52,1.0,0.0,0.0,0.0
1.428,0.19,240.31,6.0,0.0,0.0,18.0
1.324,0.0,240.21,5.4,0.0,0.0,18.0
0.314,0.214,239.94,1.6,0.0,0.0,0.0
0.286,0.056,239.34,1.4,0.0,0.0,0.0
0.398,0.206,240.7,1.8,0.0,0.0,0.0
1.318,0.076,239.91,5.4,0.0,0.0,19.0
1.422,0.136,236.99,6.0,0.0,0.0,1.0
1.49,0.216,241.64,6.2,0.0,0.0,19.0
0.322,0.084,242.58,1.4,0.0,2.0,0.0
0.256,0.0,244.44,1.0,0.0,0.0,1.0
0.266,0.0,244.24,1.0,0.0,0.0,1.0
0.322,0.096,238.88,1.4,0.0,1.0,1.0
1.936,0.122,239.13,8.0,0.0,0.0,29.0
1.238,0.0,236.46,5.2,0.0,0.0,18.0
0.24,0.0,236.97,1.0,0.0,0.0,1.0
0.322,0.078,241.33,1.4,0.0,0.0,1.0
1.556,0.072,241.67,6.6,0.0,0.0,18.0
1.504,0.206,241.01,6.2,0.0,1.0,18.0
2.404,0.386,242.64,10.0,0.0,0.0,29.0
2.684,0.19,239.88,11.2,38.0,1.0,0.0
0.174,0.0,237.08,0.8,0.0,0.0,0.0
0.33,0.234,241.1,1.6,0.0,1.0,0.0
0.254,0.0,248.79,1.0,0.0,0.0,0.0
1.278,0.072,238.88,5.2,0.0,0.0,19.0
3.226,0.076,238.93,13.4,0.0,0.0,18.0
3.262,0.172,235.3,13.8,0.0,1.0,17.0
